metrica,valor
total_registros,6362604.0
duplicatas,0.0
taxa_fraude_pct,0.1288
taxa_flagged_pct,0.0003
total_fraudes,8197.0
fraudes_nao_sinalizadas,8181.0
pct_fraudes_nao_sinalizadas,99.8
completude_step,100.0
completude_type,100.0
completude_amount,100.0
completude_nameOrig,100.0
completude_oldbalanceOrg,100.0
completude_newbalanceOrig,100.0
completude_nameDest,100.0
completude_oldbalanceDest,100.0
completude_newbalanceDest,100.0
completude_isFraud,100.0
completude_isFlaggedFraud,100.0
completude_destino_e_merchant,100.0
completude_erro_saldo_origem,100.0
completude_erro_saldo_destino,100.0
completude_saldo_origem_zerado_suspeito,100.0
completude_faixa_valor,100.0
